Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
10661,Estimates,Hungary,,348,HUN,HU,348.0,Country/Area,923,1950.0,181.744,173.751,168.6835,155.465,145.1175,154.4145,157.9325,154.323,152.0195,150.6035,149.3925,146.5285,146.605,144.9185,146.3135,147.23,149.428,152.8155,152.759,156.7115,158.0375,155.877,154.7195,154.7915,160.1085,156.4985,155.013,160.174,159.844,156.9855,145.124,105.6895,76.0275,77.273,91.2075,127.2675,149.761,152.0605,150.1825,147.9315,148.375,145.2395,141.6585,136.1245,129.609,126.679,127.869,129.5125,126.4205,125.344,122.8935,117.229,114.265,109.082,104.4495,99.195,94.968,91.1925,84.159,76.64,74.9855,79.0525,77.5475,73.532,71.295,69.1685,66.4165,63.2785,57.597,53.127,49.8295,45.282,41.6765,38.799,36.891,32.2935,26.912,24.152,21.1925,19.5695,17.123,13.8935,11.181,9.3125,7.832,6.108,4.8455,3.7755,2.639,2.0425,1.444,0.8995,0.623,0.454,0.2855,0.172,0.103,0.064,0.041,0.022,0.0215
10662,Estimates,Hungary,,348,HUN,HU,348.0,Country/Area,923,1951.0,182.1035,177.344,172.8755,168.2825,155.256,144.968,154.304,157.836,154.149,151.846,150.5165,149.252,146.373,146.2115,144.6465,146.022,146.904,149.0685,152.3415,152.259,156.1865,157.5735,155.5395,154.331,154.451,159.7615,156.1325,154.5915,159.733,159.451,156.575,144.7375,105.436,75.828,77.072,90.932,126.866,149.24,151.527,149.641,147.3735,147.7605,144.613,141.0115,135.4525,128.959,125.968,127.095,128.5735,125.4625,124.331,121.7975,116.1425,113.048,107.8935,103.1655,97.94,93.6955,89.79,82.7245,75.314,73.5995,77.204,75.6075,71.6615,69.312,67.004,64.2235,60.855,55.277,50.8525,47.3965,42.9,39.219,36.319,34.182,29.763,24.6495,21.72,19.0225,17.423,14.9735,11.9655,9.534,7.742,6.4025,4.873,3.8175,2.8905,2.0055,1.517,1.038,0.644,0.4455,0.297,0.187,0.1065,0.0575,0.04,0.0215,0.0195
10663,Estimates,Hungary,,348,HUN,HU,348.0,Country/Area,923,1952.0,178.101,178.034,176.562,172.535,168.094,155.165,144.9115,154.347,157.829,154.153,151.745,150.5465,149.1945,146.1505,145.917,144.373,145.7075,146.578,148.6945,151.838,151.7625,155.711,157.2285,155.2345,154.0235,154.201,159.478,155.8265,154.2205,159.352,159.106,156.2005,144.4155,105.2965,75.629,76.8635,90.6845,126.4315,148.78,151.0105,149.1345,146.8475,147.165,144.134,140.3545,134.7865,128.3115,125.2635,126.2125,127.6405,124.4945,123.3005,120.6405,114.9975,111.782,106.6195,101.8395,96.5715,92.342,88.32,81.267,73.9485,72.096,75.4025,73.4985,69.658,67.1205,64.704,61.777,58.3485,52.803,48.369,44.803,40.3605,36.56,33.6235,31.408,27.104,22.122,19.4085,16.572,15.1565,12.694,10.1095,7.8435,6.2445,5.0295,3.7705,2.871,2.129,1.429,1.045,0.7195,0.4385,0.2815,0.1845,0.112,0.059,0.0345,0.0215,0.0175
10664,Estimates,Hungary,,348,HUN,HU,348.0,Country/Area,923,1953.0,186.706,174.4385,177.349,176.2375,172.306,167.983,155.16,144.9605,154.515,158.041,154.196,151.7625,150.616,149.1355,146.039,145.626,144.1015,145.417,146.27,148.3835,151.428,151.378,155.358,156.9665,154.9975,153.7805,154.047,159.373,155.648,153.9035,159.026,158.799,155.8775,144.2225,105.212,75.4555,76.7035,90.459,126.0765,148.3565,150.517,148.6785,146.331,146.6935,143.664,139.7055,134.124,127.713,124.5155,125.407,126.699,123.531,122.177,119.4935,113.817,110.5065,105.281,100.42,95.161,90.9185,86.7615,79.6985,72.452,70.715,73.5785,71.2895,67.4995,64.838,62.2745,59.2155,55.6925,50.143,45.6555,42.0315,37.603,33.755,30.73,28.3995,24.2245,19.6285,16.499,14.276,12.778,10.521,8.2395,6.246,4.834,3.829,2.8205,2.092,1.459,0.948,0.69,0.4555,0.2805,0.174,0.1055,0.065,0.0245,0.019,0.0165
10665,Estimates,Hungary,,348,HUN,HU,348.0,Country/Area,923,1954.0,204.47,183.074,173.778,177.0265,176.011,172.163,167.958,155.284,145.111,154.777,158.307,154.2315,151.8035,150.6505,149.094,145.96,145.336,143.827,145.1185,145.998,148.0645,151.0555,151.035,155.0545,156.7515,154.837,153.6545,153.989,159.348,155.4875,153.607,158.7675,158.5625,155.6165,144.128,105.064,75.3245,76.57,90.249,125.7825,147.972,150.055,148.204,145.827,146.2185,143.1495,139.0925,133.4935,127.083,123.798,124.5625,125.7645,122.5035,121.134,118.4145,112.672,109.1795,103.895,98.9495,93.6855,89.39,85.137,78.009,70.996,69.3365,71.5235,68.9995,65.2805,62.4275,59.693,56.5005,52.8355,47.278,42.7945,39.1945,34.7225,30.8105,27.792,25.3445,21.44,17.0015,14.104,12.064,10.5675,8.485,6.586,4.8445,3.699,2.8435,2.0455,1.4325,0.998,0.629,0.447,0.2825,0.177,0.1035,0.065,0.031,0.0145,0.014
10666,Estimates,Hungary,,348,HUN,HU,348.0,Country/Area,923,1955.0,206.249,201.3295,182.51,173.519,176.84,175.8815,172.053,168.0755,155.366,145.3005,155.0735,158.6115,154.346,151.827,150.7765,149.085,145.884,145.025,143.541,144.853,145.7115,147.7715,150.6895,150.708,154.785,156.5695,154.717,153.4825,153.9455,159.3055,155.3205,153.4105,158.5455,158.3685,155.3775,143.963,105.063,75.188,76.421,90.0625,125.5055,147.5405,149.629,147.734,145.302,145.7155,142.636,138.4605,132.8375,126.484,123.0565,123.7355,124.7905,121.5405,120.0805,117.363,111.4685,107.788,102.453,97.4865,92.147,87.8725,83.451,76.3215,69.4575,67.796,69.4465,66.7815,63.005,60.0415,57.1085,53.8205,50.015,44.504,40.062,36.495,32.0125,28.1415,25.0675,22.6525,18.852,14.8055,12.0545,10.1745,8.6905,6.9595,5.2755,3.816,2.8185,2.1175,1.493,1.043,0.7,0.4505,0.2855,0.1825,0.1145,0.066,0.0395,0.0195,0.015
10667,Estimates,Hungary,,348,HUN,HU,348.0,Country/Area,923,1956.0,191.9805,202.7215,199.977,181.498,172.6905,176.0755,175.078,171.3085,167.3755,154.636,144.543,154.056,157.4165,152.718,150.218,148.702,146.89,142.9275,141.1055,139.269,140.168,142.471,144.942,147.773,147.9575,152.2555,154.152,152.532,151.485,152.102,157.49,153.4835,151.7725,156.8975,156.7405,153.8295,142.685,103.985,74.3865,75.697,89.3015,124.4885,146.3425,148.34,146.4755,144.1385,144.514,141.621,137.299,131.765,125.4915,121.9405,122.5945,123.5035,120.3025,118.7865,115.9995,110.0245,106.2305,100.862,95.7775,90.476,86.164,81.622,74.508,67.7975,66.075,67.32,64.4375,60.6525,57.538,54.4675,51.1,47.133,41.7065,37.395,33.8255,29.292,25.5145,22.528,20.0705,16.52,12.76,10.2145,8.4705,7.1915,5.612,4.2025,2.956,2.1295,1.5795,1.09,0.736,0.4885,0.2995,0.187,0.122,0.0715,0.04,0.024,0.0215
10668,Estimates,Hungary,,348,HUN,HU,348.0,Country/Area,923,1957.0,171.9455,188.4305,201.1625,198.667,180.396,171.684,175.026,174.021,170.1575,166.2005,153.329,142.947,152.2145,155.431,150.5225,147.9345,146.078,143.74,138.7075,136.128,133.822,136.0575,138.974,141.5655,144.4365,144.9185,149.262,151.4725,150.098,149.1475,149.8485,155.2655,151.504,149.7865,154.884,154.771,151.9895,141.193,102.8565,73.4525,74.7805,88.223,123.0985,144.82,146.806,145.079,142.597,143.0855,140.176,135.812,130.4375,124.1605,120.554,121.1125,121.9555,118.7235,117.172,114.3245,108.283,104.359,98.934,93.8245,88.496,84.1785,79.53,72.386,65.8625,64.036,64.8315,61.815,57.8965,54.78,51.544,48.03,44.0355,38.6885,34.5325,30.8635,26.488,22.8075,20.013,17.5675,14.2345,10.7875,8.496,6.9415,5.7575,4.461,3.2495,2.2275,1.5735,1.134,0.7585,0.499,0.319,0.203,0.123,0.073,0.04,0.024,0.025
10669,Estimates,Hungary,,348,HUN,HU,348.0,Country/Area,923,1958.0,156.1005,169.198,187.7225,200.6345,198.238,180.027,171.3315,174.64,173.6045,169.703,165.791,152.908,142.5025,151.804,155.068,150.306,147.5215,145.758,143.285,137.959,135.2465,132.8095,135.2395,138.314,140.821,143.6685,144.187,148.521,150.8845,149.5995,148.619,149.328,154.745,150.9945,149.132,154.2295,154.1345,151.3855,140.603,102.4405,73.077,74.397,87.764,122.415,144.009,146.0165,144.1695,141.603,142.0835,139.1735,134.7285,129.363,123.0305,119.3745,119.773,120.488,117.2635,115.597,112.664,106.556,102.4435,97.0555,91.786,86.463,82.1205,77.316,70.227,63.8085,61.885,62.2485,59.0455,55.208,51.8705,48.5085,44.9175,40.861,35.695,31.6745,28.0195,23.7385,20.273,17.549,15.213,12.1205,9.056,6.989,5.6045,4.588,3.4945,2.4755,1.674,1.157,0.802,0.524,0.338,0.2135,0.1295,0.0785,0.044,0.0255,0.026
10670,Estimates,Hungary,,348,HUN,HU,348.0,Country/Area,923,1959.0,148.9215,153.9675,168.7765,187.505,200.49,198.11,179.9275,171.2435,174.57,173.524,169.622,165.735,152.859,142.4855,151.781,155.076,150.218,147.5555,145.754,143.3455,137.997,135.209,132.8185,135.221,138.2475,140.6605,143.501,144.002,148.35,150.8275,149.47,148.4995,149.184,154.5615,150.734,148.9045,153.9515,153.8775,151.0405,140.3195,102.1615,72.8785,74.1935,87.4815,121.9245,143.4685,145.41,143.555,140.8725,141.385,138.326,133.81,128.435,122.047,118.2915,118.536,119.1475,115.8725,114.0445,111.0365,104.734,100.6925,95.0605,89.7995,84.497,79.9585,75.0745,68.0415,61.687,59.567,59.5675,56.4075,52.2905,48.953,45.4605,41.821,37.5985,32.733,28.7045,25.2515,21.284,17.7145,15.1545,12.967,10.119,7.4575,5.6595,4.4735,3.5355,2.664,1.8395,1.239,0.812,0.565,0.3575,0.225,0.133,0.0885,0.051,0.0285,0.03
